time,pJAK2_au,pEpoR_au,CIS_au,SOCS3_au,tSTAT5_au,pSTAT5_au
0,0.011066298,0.004412399,0.017007484,NaN,0.580253495,0.001089619
5,1,0.700808625,0.038819328,NaN,1,1
10,0.745856354,1,0.021343796,0.109720678,0.685016066,0.907589351
20,0.745856354,0.606469003,0.037085814,0.281462489,0.564744335,0.560146405
40,0.262055249,0.190846361,0.128730275,NaN,NaN,NaN
60,0.043104972,0.100787062,0.282493487,0.568877493,0.859840772,0.390882232
80,0.163198895,0.110948787,0.820831393,NaN,0.680305639,0.168971828
100,0.092607735,0.069846361,0.922259314,NaN,0.747585797,0.163321882
120,0.025276243,0.283018868,NaN,1,0.874021574,0.193885559
140,0.134138122,0.134037736,0.773095363,NaN,0.640664645,0.121702583
160,0.135856354,0.239555256,0.751557686,NaN,0.702241021,0.126579402
180,0.056232044,0.050681941,0.95112728,1,0.841179675,0.291616585
220,0.059243094,0.040018868,0.911414944,NaN,0.574873063,0.085724699
240,0.102116022,0.085331536,1,0.969745789,0.722746088,0.275912901
