time,pJAK2_au,pEpoR_au
0,-1.674274777,-0.509010399
0,-1.582310457,-1.568778604
0.5,-0.705956125,-0.675893656
1,-0.421299842,-0.372670403
1.5,-0.383923183,-0.040241219
2,-0.43334733,-0.165182766
3,-0.308799335,-0.000641025
4,-0.042521777,-0.114236953
5,0,0
6,-0.09713723,-0.280899813
7.5,-0.118821812,-0.379443258
9,-0.184913509,-0.042579905
10.5,-0.081962223,-0.700895925
12,-0.219164539,-0.289500719
13.5,-0.31991534,-0.469501858
15,-0.618350553,-0.11011269
16.5,-0.397170665,-0.021669979
18,-0.123583555,-0.548012165
20,-0.452426028,-0.77815125
22,-0.641832181,-0.663307132
25,-0.730089805,-0.919007637
28,-0.41086672,-0.843201668
31,-0.762417049,-1.072976552
35,-1.112909669,-1.096301914
40,-0.785329912,-1.009866852
45,-0.624628283,-0.915107515
50,-0.896724098,-1.158015195
60,-1.195097257,-0.829245166
65,-0.945275598,-0.801845916
70,-0.65294001,-0.981049243
