time,TGFb,TGFbR,TGFb_TGFbR,TGFb_TGFbR_P,I_Smad_TGFb_TGFbR_P,Smad,Smad_P,CoSmad,Smad_P_Smad_P,Smad_P_CoSmad,Smad_N,Smad_P_Smad_P_N,Smad_P_N,Smad_P_CoSmad_N,CoSmad_N,I_Smad
1285.71,0.0560095,0.0543133,0.57294,0.476223,0.00452281,38.2804,0.333603,34.1908,0.0166582,0.578596,18.8018,0.185565,0.86833,1.56593,16.922,0.0894357
2571.43,0.0324238,0.0667794,0.600649,0.428737,0.0252872,35.4457,0.305105,29.8978,0.00988512,0.631087,19.0289,0.230586,0.685928,2.45158,16.2973,0.975538
3857.14,0.0671381,0.0580597,0.731504,0.230661,0.0406157,36.1821,0.260544,29.6111,0.00610846,0.449945,15.4454,0.10997,0.569198,1.69173,16.9563,1.63381
5142.86,0.0812845,0.069658,0.605601,0.21858,0.0373554,37.5252,0.141842,33.2533,0.00386545,0.351498,17.0169,0.0877627,0.600412,1.42166,16.8992,2.51566
6428.57,0.0746076,0.0815124,0.565973,0.176678,0.0550879,38.3126,0.158193,29.6277,0.00363169,0.382457,17.1699,0.0585527,0.392295,1.48592,14.7929,2.23632
7714.29,0.0943988,0.0903675,0.897589,0.00878748,0.00280041,41.2125,0.0592609,31.3344,0.000807871,0.16213,18.3683,0.0265605,0.369621,0.714072,15.265,2.561
9000,0.0602874,0.0769648,0.886103,0.00395824,0.000934313,30.4054,0.0116921,31.3791,0.000112632,0.0175825,21.311,0.000106535,0.0368645,0.110223,16.2238,1.85419
10285.7,0.061978,0.0851892,1.00362,0.00731391,0.000964028,38.2296,0.00817773,31.3539,2.13E-05,0.00042587,18.4481,0.00336328,0.00707829,0.0237788,17.8579,1.70645
11571.4,0.0686365,0.0555068,0.66702,0.357483,0.0304198,36.7148,0.244285,28.1473,0.00594873,0.455277,18.9676,0.0625488,0.436424,1.35366,16.6718,0.68806
12857.1,0.0580983,0.0600867,0.546581,0.310118,0.0242426,42.1749,0.256026,38.5692,0.0103528,0.474042,19.8942,0.126347,0.620113,2.1586,16.4476,1.10403
14142.9,0.0644651,0.0795119,0.645781,0.286978,0.0401716,33.1866,0.262784,34.953,0.00698219,0.55178,17.2794,0.11442,0.548997,1.52282,16.0156,1.35812
15428.6,0.0465649,0.0716274,0.596378,0.215213,0.0457066,43.3083,0.198343,34.0207,0.00454952,0.404793,22.8603,0.0737831,0.513444,1.70504,14.8954,1.91593
16714.3,0.0630598,0.0731291,0.597144,0.209844,0.0461603,38.2012,0.149316,26.9923,0.0042403,0.322621,18.3804,0.0798962,0.476578,1.44042,13.8127,2.44566
18000,0.0600753,0.0735267,0.758347,0.254787,0.0537565,39.0968,0.181508,35.0948,0.0033822,0.331695,14.7955,0.0578628,0.413574,1.27876,16.85,2.31835
